"PDF_page";"Nombre";"Vision Artificial";"DeepLearning";"CNN";"LLM";"Ciberseguridad";"NLP";"Finanzas";"Industria/Agricultura";"Astronomia";"Electricidad";"Etica/normativo";"GANs";"Sentimientos"
63;"Modelado predictivo y detección de anomalías en sistemas de generación eléctrica";;TRUE;;;;;;;;TRUE;;;
65;"Detección y Clasificación Automatizada de Lesiones Orgánicas en Imágenes Médicas Empleando Técnicas Híbridas de Inteligencia Computacional y Aprendizaje Profundo";TRUE;TRUE;;;;;;;;;;;
67;"Diagnóstico de fallos en paneles fotovoltaicos utilizando LLMs y visión computacional";;TRUE;;TRUE;;;;;;TRUE;;;
69;"Desarrollo e Implementación de un Sistema de Automatización Robótico Flexible Guiado por Visión Artificial para líneas de ensamblaje";TRUE;;;;;;;TRUE;;;;;
71;"Implementación de clasificadores emsembles para la detección de averías en vehículos eléctricos";TRUE;;;;;;;TRUE;;;;;
73;"Optimización Híbrida de Trayectorias para Robots Móviles en Entornos Dinámicos Mediante la Fusión de Algoritmos";TRUE;;;;;;;;;;;;
75;"Evaluación comparativa de técnicas de inteligencia computacional aplicadas al diagnóstico de fallos en rodamientos";;;;;;;;;;;;;
77;"Inspección y reconocimiento de anomalías utilizando imágenes termográficas";TRUE;;;;;;;;;;;;
79;"Aplicación de la Inteligencia Artificial en la Innovación Educativa: Modelos predictivos y de clasificación para la mejora del aprendizaje";;;;;;;;;;;;;
81;"Detección y análisis de patrones biomédicos mediante procesamiento de señales e imágenes médicas";TRUE;;;;;;;;;;;;
83;"Análisis computacional de imágenes y patrones: Técnicas de reconocimiento de patrones para la comprensión de datos visuales";TRUE;;TRUE;;;;;;;;;;
85;"Aplicación de la Inteligencia Artificial para la detección de enfermedades neurodegenerativas mediante análisis de imágenes médicas";TRUE;;TRUE;;;;;;;;;;
87;"Clasificación automática de enfermedades dermatológicas mediante inteligencia artificial y análisis de patrones visuales";TRUE;;TRUE;;;;;;;;;;
89;"Detección automatizada y explicación de errores frecuentes en proyectos tecnológicos escolares con IA";TRUE;TRUE;;;;;;;;;;;
91;"Modelado espaciotemporal de brotes de Dermatosis Nodular Contagiosa (DNC) mediante procesos de Hawkes neuronales";;;;;;;;;;;;;
95;"Interpretabilidad dinámica en modelos de progresión del Alzheimer mediante redes neuronales";;;;;;;;;;;;;
100;"Predicción nacional de precipitaciones anómalas asociadas a DANAs en España";;TRUE;;;;;;;;;;;
105;"IA aplicada al desarrollo de recursos didácticos personalizados para tecnología en secundaria";;TRUE;;;;TRUE;;;;;;;
107;"Desarrollo e integración de agentes de inteligencia artificial en una plataforma privada";;;;TRUE;;;;;;;;;
109;"Desarrollo, ingeniería e integración de modelos de IA orientados a la predicción de datos en tiempo real basados en dispositivos IoT";;TRUE;;TRUE;;;;;;;;;
111;"Análisis comparativo de técnicas de generación automática de código";;;;;;;;;;;;;
113;"Identificación de colaboradores potenciales en proyectos de investigación";;;;TRUE;;;;;;;;;
115;"Predicción del impacto de artículos científicos";;;;;;;;;;;;;
117;"Modelos de Deep Learning para catalogación y datación de imágenes de arte rupestre levantino";TRUE;;;;;;;;;;;;
